lane,query,returned,new_unique
A,genetic algorithm pavement,100,56
A,genetic algorithm asphalt pavement,100,83
A,genetic algorithm subgrade soil,100,74
A,particle swarm optimization pavement,100,12
A,particle swarm optimization asphalt pavement,100,10
A,particle swarm optimization subgrade soil,100,2
A,differential evolution pavement,100,56
A,differential evolution asphalt pavement,100,6
A,differential evolution subgrade soil,100,33
A,simulated annealing pavement,100,8
A,simulated annealing asphalt pavement,100,20
A,simulated annealing subgrade soil,100,0
A,ant colony optimization pavement,100,1
A,ant colony optimization asphalt pavement,100,0
A,ant colony optimization subgrade soil,100,0
A,artificial bee colony pavement,100,1
A,artificial bee colony asphalt pavement,100,8
A,artificial bee colony subgrade soil,100,0
A,harmony search pavement,100,2
A,harmony search asphalt pavement,100,8
A,harmony search subgrade soil,100,0
A,imperialist competitive algorithm pavement,100,0
A,imperialist competitive algorithm asphalt pavement,100,0
A,imperialist competitive algorithm subgrade soil,100,0
A,cuckoo search pavement,100,3
A,cuckoo search asphalt pavement,100,0
A,cuckoo search subgrade soil,100,0
A,firefly algorithm pavement,100,0
A,firefly algorithm asphalt pavement,100,4
A,firefly algorithm subgrade soil,100,0
A,bat algorithm pavement,100,0
A,bat algorithm asphalt pavement,100,0
A,bat algorithm subgrade soil,100,0
A,biogeography-based optimization pavement,100,7
A,biogeography-based optimization asphalt pavement,0,0
A,biogeography-based optimization subgrade soil,50,11
A,grey wolf optimizer pavement,100,1
A,grey wolf optimizer asphalt pavement,100,1
A,grey wolf optimizer subgrade soil,100,0
A,whale optimization algorithm pavement,100,1
A,whale optimization algorithm asphalt pavement,100,14
A,whale optimization algorithm subgrade soil,100,0
A,salp swarm algorithm pavement,100,1
A,salp swarm algorithm asphalt pavement,100,0
A,salp swarm algorithm subgrade soil,100,0
A,grasshopper optimization algorithm pavement,100,0
A,grasshopper optimization algorithm asphalt pavement,100,2
A,grasshopper optimization algorithm subgrade soil,100,0
A,harris hawks optimization pavement,100,0
A,harris hawks optimization asphalt pavement,100,1
A,harris hawks optimization subgrade soil,100,0
A,slime mould algorithm pavement,100,0
A,slime mould algorithm asphalt pavement,100,0
A,slime mould algorithm subgrade soil,100,0
A,symbiotic organisms search pavement,100,0
A,symbiotic organisms search asphalt pavement,100,1
A,symbiotic organisms search subgrade soil,100,0
A,sine cosine algorithm pavement,100,0
A,sine cosine algorithm asphalt pavement,100,0
A,sine cosine algorithm subgrade soil,100,0
A,teaching-learning-based optimization pavement,100,5
A,teaching-learning-based optimization asphalt pavement,100,61
A,teaching-learning-based optimization subgrade soil,100,1
A,jaya algorithm pavement,100,19
A,jaya algorithm asphalt pavement,100,3
A,jaya algorithm subgrade soil,100,0
A,beetle antennae search pavement,100,2
A,beetle antennae search asphalt pavement,100,0
A,beetle antennae search subgrade soil,100,0
A,marine predators algorithm pavement,100,0
A,marine predators algorithm asphalt pavement,100,1
A,marine predators algorithm subgrade soil,100,2
A,arithmetic optimization pavement,100,24
A,arithmetic optimization asphalt pavement,100,9
A,arithmetic optimization subgrade soil,100,3
A,equilibrium optimizer pavement,100,0
A,equilibrium optimizer asphalt pavement,100,4
A,equilibrium optimizer subgrade soil,100,4
A,political optimizer pavement,100,59
A,political optimizer asphalt pavement,100,1
A,political optimizer subgrade soil,100,10
A,coot optimization pavement,100,0
A,coot optimization asphalt pavement,100,0
A,coot optimization subgrade soil,100,0
A,dipper throated optimization pavement,100,1
A,dipper throated optimization asphalt pavement,100,0
A,dipper throated optimization subgrade soil,100,0
A,black-winged kite algorithm pavement,100,0
A,black-winged kite algorithm asphalt pavement,100,0
A,black-winged kite algorithm subgrade soil,100,0
A,fennec fox optimization pavement,100,1
A,fennec fox optimization asphalt pavement,100,0
A,fennec fox optimization subgrade soil,100,0
A,dingo optimization algorithm pavement,100,6
A,dingo optimization algorithm asphalt pavement,100,0
A,dingo optimization algorithm subgrade soil,100,1
A,forensic-based investigation optimization pavement,100,10
A,forensic-based investigation optimization asphalt pavement,100,56
A,forensic-based investigation optimization subgrade soil,100,17
A,gravitational search algorithm pavement,100,1
A,gravitational search algorithm asphalt pavement,100,0
A,gravitational search algorithm subgrade soil,100,1
